kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
3;5;4;53;201;2;"[7,26]";"[9,85]";"[106,201]";"[201,201]";0.00;0.00
3;5;4;76;142;2;"[7,69]";"[8,168]";"[100,142]";"[160,142]";0.00;0.00
3;5;4;26;306;2;"[7,28]";"[7,49]";"[249,306]";"[306,306]";0.00;0.00
3;5;4;227;140;2;"[7,31]";"[8,70]";"[85,140]";"[140,140]";0.00;0.00
3;5;4;136;106;2;"[7,125]";"[9,225]";"[100,106]";"[106,106]";0.00;1.00
3;5;4;43;208;2;"[7,45]";"[8,103]";"[202,208]";"[208,208]";0.00;0.00
3;5;4;117;100;2;"[7,11]";"[9,25]";"[60,100]";"[100,100]";0.00;0.00
3;5;4;32;6;2;"[7,11]";"[9,21]";"[5,6]";"[6,6]";0.00;0.00
3;5;4;127;201;1;"[7]";"[9]";"[201]";"[201]";0.00;0.00
3;5;4;51;109;2;"[7,40]";"[8,74]";"[52,109]";"[109,109]";0.00;0.00
3;5;4;158;201;2;"[7,57]";"[8,111]";"[100,201]";"[201,201]";0.00;0.00
3;5;4;18;13;2;"[7,11]";"[9,18]";"[10,13]";"[13,13]";0.00;0.00
3;5;4;72;203;2;"[7,65]";"[8,124]";"[111,203]";"[203,203]";0.00;0.00
3;5;4;91;100;1;"[7]";"[8]";"[100]";"[100]";0.00;0.00
3;5;4;137;116;2;"[7,20]";"[9,39]";"[68,116]";"[116,116]";0.00;0.00
3;5;4;75;349;2;"[7,28]";"[7,48]";"[156,349]";"[349,349]";0.00;0.00
3;5;4;226;106;2;"[7,26]";"[9,47]";"[100,106]";"[106,106]";0.00;0.00
3;5;4;173;102;3;"[7,56,65]";"[9,106,133]";"[100,102,102]";"[102,102,102]";0.00;0.00
3;5;4;32;81;2;"[7,12]";"[8,18]";"[50,81]";"[81,81]";0.00;0.00
3;5;4;108;220;2;"[7,60]";"[8,114]";"[137,220]";"[220,220]";0.00;0.00
3;5;4;107;203;1;"[7]";"[9]";"[203]";"[203]";0.00;0.00
3;5;4;57;200;2;"[7,8]";"[7,10]";"[150,200]";"[200,200]";0.00;0.00
3;5;4;46;209;2;"[7,35]";"[9,84]";"[109,209]";"[214,209]";0.00;0.00
3;5;4;153;202;2;"[7,8]";"[9,13]";"[152,202]";"[202,202]";0.00;0.00
3;5;4;49;20;1;"[7]";"[9]";"[20]";"[20]";0.00;0.00
3;5;4;66;160;2;"[7,15]";"[9,21]";"[100,160]";"[160,160]";0.00;0.00
3;5;4;127;221;2;"[7,110]";"[8,313]";"[107,221]";"[221,221]";0.00;0.00
3;5;4;12;19;2;"[7,13]";"[8,23]";"[15,19]";"[19,19]";0.00;0.00
3;5;4;136;201;2;"[7,11]";"[9,21]";"[121,201]";"[201,201]";0.00;0.00
3;5;4;226;107;2;"[7,26]";"[8,46]";"[100,107]";"[107,107]";0.00;0.00
3;5;4;86;114;2;"[7,15]";"[8,28]";"[74,114]";"[114,114]";0.00;0.00
3;5;4;126;53;2;"[7,31]";"[8,56]";"[50,53]";"[53,53]";0.00;0.00
3;5;4;127;100;2;"[7,56]";"[9,156]";"[51,100]";"[100,100]";0.00;0.00
3;5;4;131;52;2;"[7,105]";"[9,160]";"[50,52]";"[52,52]";0.00;0.00
3;5;4;67;109;2;"[7,60]";"[9,164]";"[51,109]";"[110,109]";0.00;0.00
3;5;4;251;105;2;"[7,105]";"[8,155]";"[100,105]";"[105,105]";0.00;0.00
3;5;4;173;256;2;"[7,27]";"[8,66]";"[161,256]";"[256,256]";0.00;0.00
3;5;4;256;221;2;"[7,60]";"[9,119]";"[121,221]";"[221,221]";0.00;0.00
3;5;4;22;13;2;"[7,16]";"[8,26]";"[9,13]";"[13,13]";0.00;0.00
3;5;4;133;300;2;"[7,17]";"[7,36]";"[114,300]";"[300,300]";0.00;0.00
3;5;4;61;44;2;"[7,25]";"[8,53]";"[26,44]";"[44,44]";0.00;0.00
3;5;4;115;153;2;"[7,107]";"[9,206]";"[100,153]";"[153,153]";0.00;0.00
3;5;4;136;106;2;"[7,40]";"[9,99]";"[52,106]";"[106,106]";0.00;0.00
3;5;4;57;55;2;"[7,11]";"[9,20]";"[50,55]";"[55,55]";0.00;0.00
3;5;4;162;120;2;"[7,111]";"[9,218]";"[79,120]";"[120,120]";0.00;0.00
3;5;4;26;69;2;"[7,9]";"[7,10]";"[40,69]";"[69,69]";0.00;0.00
3;5;4;96;123;2;"[7,11]";"[9,17]";"[100,123]";"[123,123]";0.00;0.00
3;5;4;51;109;2;"[7,26]";"[9,47]";"[100,109]";"[109,109]";0.00;0.00
3;5;4;10;203;1;"[7]";"[9]";"[203]";"[203]";0.00;0.00
3;5;4;72;118;2;"[7,61]";"[8,114]";"[53,118]";"[122,118]";0.00;0.00
3;5;4;121;113;2;"[7,65]";"[8,124]";"[100,113]";"[113,113]";0.00;0.00
3;5;4;161;209;2;"[7,45]";"[9,85]";"[114,209]";"[209,209]";0.00;0.00
3;5;4;109;202;2;"[7,106]";"[9,206]";"[202,202]";"[300,202]";0.00;0.00
3;5;4;261;203;2;"[7,155]";"[9,364]";"[101,203]";"[203,203]";0.00;0.00
3;5;4;27;44;2;"[7,8]";"[9,12]";"[34,44]";"[44,44]";0.00;0.00
3;5;4;34;76;2;"[7,17]";"[8,28]";"[38,76]";"[80,76]";0.00;0.00
3;5;4;61;56;2;"[7,55]";"[8,84]";"[50,56]";"[56,56]";0.00;0.00
3;5;4;16;151;2;"[7,16]";"[8,29]";"[111,151]";"[151,151]";0.00;0.00
3;5;4;7;5;2;"[7,8]";"[9,10]";"[4,5]";"[5,5]";0.00;0.00
3;5;4;66;61;2;"[7,11]";"[9,17]";"[50,61]";"[61,61]";0.00;0.00
3;5;4;87;51;2;"[7,11]";"[9,20]";"[50,51]";"[56,51]";0.00;0.00
3;5;4;157;125;2;"[7,60]";"[8,110]";"[100,125]";"[125,125]";0.00;0.00
3;5;4;15;222;2;"[7,15]";"[9,29]";"[142,222]";"[222,222]";0.00;0.00
3;5;4;61;208;2;"[7,16]";"[9,36]";"[118,208]";"[208,208]";0.00;0.00
3;5;4;221;210;2;"[7,115]";"[8,323]";"[101,210]";"[210,210]";0.00;0.00
3;5;4;82;92;2;"[7,31]";"[9,55]";"[50,92]";"[92,92]";0.00;0.00
3;5;4;76;50;1;"[7]";"[8]";"[50]";"[50]";0.00;0.00
3;5;4;83;107;2;"[7,11]";"[9,17]";"[100,107]";"[107,107]";0.00;0.00
3;5;4;173;298;2;"[7,57]";"[8,157]";"[103,298]";"[298,298]";0.00;0.00
3;5;4;15;299;2;"[7,12]";"[8,18]";"[120,299]";"[299,299]";0.00;0.00
3;5;4;117;139;2;"[7,70]";"[7,128]";"[62,139]";"[143,139]";0.00;0.00
3;5;4;56;137;2;"[7,11]";"[9,21]";"[100,137]";"[137,137]";0.00;0.00
3;5;4;117;69;2;"[7,35]";"[8,64]";"[50,69]";"[71,69]";0.00;0.00
3;5;4;69;64;2;"[7,11]";"[9,17]";"[50,64]";"[64,64]";0.00;0.00
3;5;4;33;45;2;"[7,29]";"[9,52]";"[29,45]";"[45,45]";0.00;0.00
